committee,name,firstname,lastname,fullname,official_name,user_id,period,begin,end,policy_field
Haushalt,"Boehringer, Peter",Peter,Boehringer,Peter Boehringer,Peter Boehringer,99268600,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Gerster, Martin",Martin,Gerster,Martin Gerster,Martin Gerster,NA,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Berghegger, Dr. André",Dr. André,Berghegger,Dr. André Berghegger,André Berghegger,NA,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Brandl, Dr. Reinhard",Dr. Reinhard,Brandl,Dr. Reinhard Brandl,Reinhard Brandl,262730721,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Fischer, Axel E.",Axel E.,Fischer,Axel E. Fischer,Axel E. Fischer,NA,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Gädechens, Ingo",Ingo,Gädechens,Ingo Gädechens,Ingo Gädechens,1157298670745899014,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Gröhler, Klaus-Dieter",Klaus-Dieter,Gröhler,Klaus-Dieter Gröhler,Klaus-Dieter Gröhler,NA,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Haase, Christian",Christian,Haase,Christian Haase,Christian Haase,1601699642,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Karl, Alois",Alois,Karl,Alois Karl,Alois Karl,26711312,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Körber, Carsten",Carsten,Körber,Carsten Körber,Carsten Körber,1362372381814231041,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Kruse, Rüdiger",Rüdiger,Kruse,Rüdiger Kruse,Rüdiger Kruse,20916357,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Lips, Patricia",Patricia,Lips,Patricia Lips,Patricia Lips,NA,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Mattfeldt, Andreas",Andreas,Mattfeldt,Andreas Mattfeldt,Andreas Mattfeldt,23447001,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Oßner, Florian",Florian,Oßner,Florian Oßner,Florian Oßner,1294532364,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Radomski, Kerstin",Kerstin,Radomski,Kerstin Radomski,Kerstin Radomski,NA,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Rehberg, Eckhardt",Eckhardt,Rehberg,Eckhardt Rehberg,Eckhardt Rehberg,NA,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Rief, Josef",Josef,Rief,Josef Rief,Josef Rief,NA,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Barnett, Doris",Doris,Barnett,Doris Barnett,Doris Barnett,NA,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Dilcher, Esther",Esther,Dilcher,Esther Dilcher,Esther Dilcher,939092636165689345,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Groß, Michael",Michael,Groß,Michael Groß,Michael Groß,2814949590,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Jurk, Thomas",Thomas,Jurk,Thomas Jurk,Thomas Jurk,1959248485,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Rohde, Dennis",Dennis,Rohde,Dennis Rohde,Dennis Rohde,18160122,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Schulz, Swen",Swen,Schulz,Swen Schulz,Swen Schulz,NA,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Schwarz, Andreas",Andreas,Schwarz,Andreas Schwarz,Andreas Schwarz,53617577,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Schwarz, Andreas",Andreas,Schwarz,Andreas Schwarz,Andreas Schwarz,2226815116,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Stadler, Svenja",Svenja,Stadler,Svenja Stadler,Svenja Stadler,3337459024,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Steffen, Sonja Amalie",Sonja Amalie,Steffen,Sonja Amalie Steffen,Sonja Amalie Steffen,NA,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Bühl, Marcus",Marcus,Bühl,Marcus Bühl,Marcus Bühl,729360191263780867,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Hohmann, Martin",Martin,Hohmann,Martin Hohmann,Martin Hohmann,1159457070124605442,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Malsack-Winkemann, Dr. Birgit",Dr. Birgit,Malsack-Winkemann,Dr. Birgit Malsack-Winkemann,Birgit Malsack-Winkemann,2368711488,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Münz, Volker",Volker,Münz,Volker Münz,Volker Münz,878615716152446976,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Schielke-Ziesing, Ulrike",Ulrike,Schielke-Ziesing,Ulrike Schielke-Ziesing,Ulrike Schielke-Ziesing,866924100,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Fricke, Otto",Otto,Fricke,Otto Fricke,Otto Fricke,18044683,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Ihnen, Ulla",Ulla,Ihnen,Ulla Ihnen,Ulla Ihnen,997415730051207169,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Ihnen, Ulla",Ulla,Ihnen,Ulla Ihnen,Ulla Ihnen,757224186,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Klein, Karsten",Karsten,Klein,Karsten Klein,Karsten Klein,995228494023086080,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Meyer, Christoph",Christoph,Meyer,Christoph Meyer,Christoph Meyer,861992050358616064,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Stark-Watzinger, Bettina",Bettina,Stark-Watzinger,Bettina Stark-Watzinger,Bettina Stark-Watzinger,38228691,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Bluhm-Förster, Heidrun",Heidrun,Bluhm-Förster,Heidrun Bluhm-Förster,Heidrun Bluhm-Förster,NA,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Lötzsch, Dr. Gesine",Dr. Gesine,Lötzsch,Dr. Gesine Lötzsch,Gesine Lötzsch,24178198,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Perli, Victor",Victor,Perli,Victor Perli,Victor Perli,3350681139,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Troost, Dr. Axel",Dr. Axel,Troost,Dr. Axel Troost,Axel Troost,NA,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Deligöz, Ekin",Ekin,Deligöz,Ekin Deligöz,Ekin Deligöz,22125770,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Hajduk, Anja",Anja,Hajduk,Anja Hajduk,Anja Hajduk,4724923756,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Kindler, Sven-Christian",Sven-Christian,Kindler,Sven-Christian Kindler,Sven-Christian Kindler,17343047,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Haushalt,"Lindner, Dr. Tobias",Dr. Tobias,Lindner,Dr. Tobias Lindner,Tobias Lindner,21197524,WP_19,2017-10-24,2021-10-26,haushalt_finanzen
Inneres,"Lindholz, Andrea",Andrea,Lindholz,Andrea Lindholz,Andrea Lindholz,1446031532,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Haug, Jochen",Jochen,Haug,Jochen Haug,Jochen Haug,717077328669646849,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Amthor, Philipp",Philipp,Amthor,Philipp Amthor,Philipp Amthor,934016327567790080,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Bernstiel, Christoph",Christoph,Bernstiel,Christoph Bernstiel,Christoph Bernstiel,830085678063030273,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Brand, Michael",Michael,Brand,Michael Brand,Michael Brand,NA,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Henrichmann, Marc",Marc,Henrichmann,Marc Henrichmann,Marc Henrichmann,44608858,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Irmer, Hans-Jürgen",Hans-Jürgen,Irmer,Hans-Jürgen Irmer,Hans-Jürgen Irmer,NA,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Kuffer, Michael",Michael,Kuffer,Michael Kuffer,Michael Kuffer,4249342037,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Middelberg, Dr. Mathias",Dr. Mathias,Middelberg,Dr. Mathias Middelberg,Mathias Middelberg,NA,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Müller, Axel",Axel,Müller,Axel Müller,Axel Müller,NA,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Nicolaisen, Petra",Petra,Nicolaisen,Petra Nicolaisen,Petra Nicolaisen,NA,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Oster, Josef",Josef,Oster,Josef Oster,Josef Oster,28089973,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Seif, Detlef",Detlef,Seif,Detlef Seif,Detlef Seif,NA,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Throm, Alexander",Alexander,Throm,Alexander Throm,Alexander Throm,829056811974144001,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Vries, Christoph de",Christoph de,Vries,Christoph de Vries,Christoph de Vries,1193925069476696064,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Warken, Nina",Nina,Warken,Nina Warken,Nina Warken,65413134,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Wendt, Marian",Marian,Wendt,Marian Wendt,Marian Wendt,2430137675,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Castellucci, Prof. Dr. Lars",Prof. Dr. Lars,Castellucci,Prof. Dr. Lars Castellucci,Lars Castellucci,17469649,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Grötsch, Uli",Uli,Grötsch,Uli Grötsch,Uli Grötsch,867351565757239296,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Hartmann, Sebastian",Sebastian,Hartmann,Sebastian Hartmann,Sebastian Hartmann,1076269195,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Hitschler, Thomas",Thomas,Hitschler,Thomas Hitschler,Thomas Hitschler,292151515,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Kaiser, Elisabeth",Elisabeth,Kaiser,Elisabeth Kaiser,Elisabeth Kaiser,1425035358,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Lehmann, Sylvia",Sylvia,Lehmann,Sylvia Lehmann,Sylvia Lehmann,2320712427,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Lindh, Helge",Helge,Lindh,Helge Lindh,Helge Lindh,454981027,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Mittag, Susanne",Susanne,Mittag,Susanne Mittag,Susanne Mittag,NA,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Özdemir, Mahmut",Mahmut,Özdemir,Mahmut Özdemir,Mahmut Özdemir,1399764944,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Vogt, Ute",Ute,Vogt,Ute Vogt,Ute Vogt,106684561,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Baumann, Dr. Bernd",Dr. Bernd,Baumann,Dr. Bernd Baumann,Bernd Baumann,3043727333,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Curio, Dr. Gottfried",Dr. Gottfried,Curio,Dr. Gottfried Curio,Gottfried Curio,848618993015500802,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Hess, Martin",Martin,Hess,Martin Hess,Martin Hess,872663038805016576,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Storch, Beatrix von",Beatrix von,Storch,Beatrix von Storch,Beatrix von Storch,805308596,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Wirth, Dr. Christian",Dr. Christian,Wirth,Dr. Christian Wirth,Christian Wirth,920193967937019904,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Bubendorfer-Licht, Sandra",Sandra,Bubendorfer-Licht,Sandra Bubendorfer-Licht,Sandra Bubendorfer-Licht,887343634647003136,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Höferlin, Manuel",Manuel,Höferlin,Manuel Höferlin,Manuel Höferlin,17483463,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Kuhle, Konstantin",Konstantin,Kuhle,Konstantin Kuhle,Konstantin Kuhle,475275997,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Strasser, Benjamin",Benjamin,Strasser,Benjamin Strasser,Benjamin Strasser,29540300,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Teuteberg, Linda",Linda,Teuteberg,Linda Teuteberg,Linda Teuteberg,170964436,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Hahn, Dr. André",Dr. André,Hahn,Dr. André Hahn,André Hahn,NA,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Jelpke, Ulla",Ulla,Jelpke,Ulla Jelpke,Ulla Jelpke,2837971145,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Pau, Petra",Petra,Pau,Petra Pau,Petra Pau,1683845126,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Pau, Petra",Petra,Pau,Petra Pau,Petra Pau,560467206,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Renner, Martina",Martina,Renner,Martina Renner,Martina Renner,68920005,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Amtsberg, Luise",Luise,Amtsberg,Luise Amtsberg,Luise Amtsberg,NA,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Mihalic, Dr. Irene",Dr. Irene,Mihalic,Dr. Irene Mihalic,Irene Mihalic,143000381,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Notz, Dr. Konstantin von",Dr. Konstantin von,Notz,Dr. Konstantin von Notz,Konstantin von Notz,17752770,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Inneres,"Polat, Filiz",Filiz,Polat,Filiz Polat,Filiz Polat,194535434,WP_19,2017-10-24,2021-10-26,innere_sicherheit
Kultur und Medien,"Budde, Katrin",Katrin,Budde,Katrin Budde,Katrin Budde,NA,WP_19,2017-10-24,2021-10-26,kultur_medien_sport
Kultur und Medien,"Selle, Johannes",Johannes,Selle,Johannes Selle,Johannes Selle,NA,WP_19,2017-10-24,2021-10-26,kultur_medien_sport
Kultur und Medien,"Bernstein, Melanie",Melanie,Bernstein,Melanie Bernstein,Melanie Bernstein,NA,WP_19,2017-10-24,2021-10-26,kultur_medien_sport
Kultur und Medien,"Frieser, Michael",Michael,Frieser,Michael Frieser,Michael Frieser,4577700622,WP_19,2017-10-24,2021-10-26,kultur_medien_sport
Kultur und Medien,"Kauder, Volker",Volker,Kauder,Volker Kauder,Volker Kauder,NA,WP_19,2017-10-24,2021-10-26,kultur_medien_sport
Kultur und Medien,"Magwas, Yvonne",Yvonne,Magwas,Yvonne Magwas,Yvonne Magwas,3852561082,WP_19,2017-10-24,2021-10-26,kultur_medien_sport
Kultur und Medien,"Motschmann, Elisabeth",Elisabeth,Motschmann,Elisabeth Motschmann,Elisabeth Motschmann,1135510177292197888,WP_19,2017-10-24,2021-10-26,kultur_medien_sport
Kultur und Medien,"Lindh, Helge",Helge,Lindh,Helge Lindh,Helge Lindh,454981027,WP_19,2017-10-24,2021-10-26,kultur_medien_sport
Kultur und Medien,"Rabanus, Martin",Martin,Rabanus,Martin Rabanus,Martin Rabanus,46356949,WP_19,2017-10-24,2021-10-26,kultur_medien_sport
Kultur und Medien,"Schieder, Marianne",Marianne,Schieder,Marianne Schieder,Marianne Schieder,1306503986791448576,WP_19,2017-10-24,2021-10-26,kultur_medien_sport
Kultur und Medien,"Jongen, Dr. Marc",Dr. Marc,Jongen,Dr. Marc Jongen,Marc Jongen,4121053541,WP_19,2017-10-24,2021-10-26,kultur_medien_sport
Kultur und Medien,"Renner, Martin Erwin",Martin Erwin,Renner,Martin Erwin Renner,Martin Erwin Renner,2535401947,WP_19,2017-10-24,2021-10-26,kultur_medien_sport
Kultur und Medien,"Ebbing, Hartmut",Hartmut,Ebbing,Hartmut Ebbing,Hartmut Ebbing,916950563815870464,WP_19,2017-10-24,2021-10-26,kultur_medien_sport
Kultur und Medien,"Hacker, Thomas",Thomas,Hacker,Thomas Hacker,Thomas Hacker,89209507,WP_19,2017-10-24,2021-10-26,kultur_medien_sport
Kultur und Medien,"Barrientos, Simone",Simone,Barrientos,Simone Barrientos,Simone Barrientos,176104376,WP_19,2017-10-24,2021-10-26,kultur_medien_sport
Kultur und Medien,"Freihold, Brigitte",Brigitte,Freihold,Brigitte Freihold,Brigitte Freihold,925703909825548288,WP_19,2017-10-24,2021-10-26,kultur_medien_sport
Kultur und Medien,"Grundl, Erhard",Erhard,Grundl,Erhard Grundl,Erhard Grundl,951773879822880768,WP_19,2017-10-24,2021-10-26,kultur_medien_sport
Kultur und Medien,"Stumpp, Margit",Margit,Stumpp,Margit Stumpp,Margit Stumpp,943082490482262016,WP_19,2017-10-24,2021-10-26,kultur_medien_sport
Menschenrechte und humanitäre Hilfe,"Jensen, Gyde",Gyde,Jensen,Gyde Jensen,Gyde Jensen,1530171613,WP_19,2017-10-24,2021-10-26,entwicklung
Menschenrechte und humanitäre Hilfe,"Braun, Jürgen",Jürgen,Braun,Jürgen Braun,Jürgen Braun,917756296555892736,WP_19,2017-10-24,2021-10-26,entwicklung
Menschenrechte und humanitäre Hilfe,"Altenkamp, Norbert",Norbert,Altenkamp,Norbert Altenkamp,Norbert Altenkamp,1319570576957149184,WP_19,2017-10-24,2021-10-26,entwicklung
Menschenrechte und humanitäre Hilfe,"Brand, Michael",Michael,Brand,Michael Brand,Michael Brand,NA,WP_19,2017-10-24,2021-10-26,entwicklung
Menschenrechte und humanitäre Hilfe,"Brehm, Sebastian",Sebastian,Brehm,Sebastian Brehm,Sebastian Brehm,904304932257492992,WP_19,2017-10-24,2021-10-26,entwicklung
Menschenrechte und humanitäre Hilfe,"Heinrich, Frank",Frank,Heinrich,Frank Heinrich,Frank Heinrich,43959185,WP_19,2017-10-24,2021-10-26,entwicklung
Menschenrechte und humanitäre Hilfe,"Patzelt, Martin",Martin,Patzelt,Martin Patzelt,Martin Patzelt,1159072277746593792,WP_19,2017-10-24,2021-10-26,entwicklung
Menschenrechte und humanitäre Hilfe,"Zimmer, Prof. Dr. Matthias",Prof. Dr. Matthias,Zimmer,Prof. Dr. Matthias Zimmer,Matthias Zimmer,52994606,WP_19,2017-10-24,2021-10-26,entwicklung
Menschenrechte und humanitäre Hilfe,"Castellucci, Prof. Dr. Lars",Prof. Dr. Lars,Castellucci,Prof. Dr. Lars Castellucci,Lars Castellucci,17469649,WP_19,2017-10-24,2021-10-26,entwicklung
Menschenrechte und humanitäre Hilfe,"Özoğuz, Aydan",Aydan,Özoğuz,Aydan Özoğuz,Aydan Özoğuz,83342791,WP_19,2017-10-24,2021-10-26,entwicklung
Menschenrechte und humanitäre Hilfe,"Schwabe, Frank",Frank,Schwabe,Frank Schwabe,Frank Schwabe,30050484,WP_19,2017-10-24,2021-10-26,entwicklung
Menschenrechte und humanitäre Hilfe,"Herdt, Waldemar",Waldemar,Herdt,Waldemar Herdt,Waldemar Herdt,3384824825,WP_19,2017-10-24,2021-10-26,entwicklung
Menschenrechte und humanitäre Hilfe,"Herdt, Waldemar",Waldemar,Herdt,Waldemar Herdt,Waldemar Herdt,1865308944,WP_19,2017-10-24,2021-10-26,entwicklung
Menschenrechte und humanitäre Hilfe,"Heidt, Peter",Peter,Heidt,Peter Heidt,Peter Heidt,1858621434,WP_19,2017-10-24,2021-10-26,entwicklung
Menschenrechte und humanitäre Hilfe,"Brandt, Michel",Michel,Brandt,Michel Brandt,Michel Brandt,1543429536,WP_19,2017-10-24,2021-10-26,entwicklung
Menschenrechte und humanitäre Hilfe,"Nastic, Zaklin",Zaklin,Nastic,Zaklin Nastic,Zaklin Nastic,NA,WP_19,2017-10-24,2021-10-26,entwicklung
Menschenrechte und humanitäre Hilfe,"Bause, Margarete",Margarete,Bause,Margarete Bause,Margarete Bause,480623844,WP_19,2017-10-24,2021-10-26,entwicklung
Menschenrechte und humanitäre Hilfe,"Gehring, Kai",Kai,Gehring,Kai Gehring,Kai Gehring,110368456,WP_19,2017-10-24,2021-10-26,entwicklung
Recht und Verbraucherschutz,"Hirte, Prof. Dr. Heribert",Prof. Dr. Heribert,Hirte,Prof. Dr. Heribert Hirte,Heribert Hirte,1513671236,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Heil, Mechthild",Mechthild,Heil,Mechthild Heil,Mechthild Heil,974367631,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Heveling, Ansgar",Ansgar,Heveling,Ansgar Heveling,Ansgar Heveling,NA,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Hoffmann, Alexander",Alexander,Hoffmann,Alexander Hoffmann,Alexander Hoffmann,1193816843519172608,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Jung, Ingmar",Ingmar,Jung,Ingmar Jung,Ingmar Jung,23296367,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Lehrieder, Paul",Paul,Lehrieder,Paul Lehrieder,Paul Lehrieder,NA,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Luczak, Dr. Jan-Marco",Dr. Jan-Marco,Luczak,Dr. Jan-Marco Luczak,Jan-Marco Luczak,22908417,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Müller, Axel",Axel,Müller,Axel Müller,Axel Müller,NA,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Müller, Carsten",Carsten,Müller,Carsten Müller,Carsten Müller,53945479,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Müller, Carsten",Carsten,Müller,Carsten Müller,Carsten Müller,1322811129635213313,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Oellers, Wilfried",Wilfried,Oellers,Wilfried Oellers,Wilfried Oellers,906847944,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Sensburg, Prof. Dr. Patrick",Prof. Dr. Patrick,Sensburg,Prof. Dr. Patrick Sensburg,Patrick Sensburg,43537931,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Steineke, Sebastian",Sebastian,Steineke,Sebastian Steineke,Sebastian Steineke,277006619,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Thies, Hans-Jürgen",Hans-Jürgen,Thies,Hans-Jürgen Thies,Hans-Jürgen Thies,NA,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Ullrich, Dr. Volker",Dr. Volker,Ullrich,Dr. Volker Ullrich,Volker Ullrich,28446356,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Warken, Nina",Nina,Warken,Nina Warken,Nina Warken,65413134,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Wellenreuther, Ingo",Ingo,Wellenreuther,Ingo Wellenreuther,Ingo Wellenreuther,NA,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Brunner, Dr. Karl-Heinz",Dr. Karl-Heinz,Brunner,Dr. Karl-Heinz Brunner,Karl-Heinz Brunner,882929865535705088,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Dilcher, Esther",Esther,Dilcher,Esther Dilcher,Esther Dilcher,939092636165689345,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Fechner, Dr. Johannes",Dr. Johannes,Fechner,Dr. Johannes Fechner,Johannes Fechner,1105754727101485058,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Groß, Michael",Michael,Groß,Michael Groß,Michael Groß,2814949590,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Lauterbach, Prof. Dr. Karl",Prof. Dr. Karl,Lauterbach,Prof. Dr. Karl Lauterbach,Karl Lauterbach,3292982985,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Post, Florian",Florian,Post,Florian Post,Florian Post,741532130,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Rawert, Mechthild",Mechthild,Rawert,Mechthild Rawert,Mechthild Rawert,37438947,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Scheer, Dr. Nina",Dr. Nina,Scheer,Dr. Nina Scheer,Nina Scheer,845213960060243968,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Steffen, Sonja Amalie",Sonja Amalie,Steffen,Sonja Amalie Steffen,Sonja Amalie Steffen,NA,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Brandner, Stephan",Stephan,Brandner,Stephan Brandner,Stephan Brandner,713361366858481664,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Jacobi, Fabian",Fabian,Jacobi,Fabian Jacobi,Fabian Jacobi,944181149424898048,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Maier, Jens",Jens,Maier,Jens Maier,Jens Maier,916639458409242624,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Peterka, Tobias Matthias",Tobias Matthias,Peterka,Tobias Matthias Peterka,Tobias Matthias Peterka,2496104640,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Reusch, Roman Johannes",Roman Johannes,Reusch,Roman Johannes Reusch,Roman Johannes Reusch,NA,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Buschmann, Dr. Marco",Dr. Marco,Buschmann,Dr. Marco Buschmann,Marco Buschmann,106136813,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Helling-Plahr, Katrin",Katrin,Helling-Plahr,Katrin Helling-Plahr,Katrin Helling-Plahr,21267421,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Martens, Dr. Jürgen",Dr. Jürgen,Martens,Dr. Jürgen Martens,Jürgen Martens,1187686813168820224,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Müller-Böhm, Roman",Roman,Müller-Böhm,Roman Müller-Böhm,Roman Müller-Böhm,2373251115,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Willkomm, Katharina",Katharina,Willkomm,Katharina Willkomm,Katharina Willkomm,958634602905718785,WP_19,2017-10-24,2021-10-26,NA
Recht und Verbraucherschutz,"Willkomm, Katharina",Katharina,Willkomm,Katharina Willkomm,Katharina Willkomm,833686206642786304,WP_19,2017-10-24,2021-10-26,NA
