committee,name,firstname,lastname,fullname,official_name,user_id,period,begin,end,policy_field
Arbeit und Soziales,"Vogel, Johannes",Johannes,Vogel,Johannes Vogel,Johannes Vogel,15630931,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Ferschl, Susanne",Susanne,Ferschl,Susanne Ferschl,Susanne Ferschl,1096063189249331201,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Krellmann, Jutta",Jutta,Krellmann,Jutta Krellmann,Jutta Krellmann,600984834,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Meiser, Pascal",Pascal,Meiser,Pascal Meiser,Pascal Meiser,314534724,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Tatti, Jessica",Jessica,Tatti,Jessica Tatti,Jessica Tatti,1020297087970435072,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Kurth, Markus",Markus,Kurth,Markus Kurth,Markus Kurth,150188536,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Lehmann, Sven",Sven,Lehmann,Sven Lehmann,Sven Lehmann,16706236,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Müller-Gemmeke, Beate",Beate,Müller-Gemmeke,Beate Müller-Gemmeke,Beate Müller-Gemmeke,53426644,WP_19,2017-10-24,2021-10-26,arbeit
Arbeit und Soziales,"Rüffer, Corinna",Corinna,Rüffer,Corinna Rüffer,Corinna Rüffer,1524735194,WP_19,2017-10-24,2021-10-26,arbeit
Auswärtiger Ausschuss,"Röttgen, Dr. Norbert",Dr. Norbert,Röttgen,Dr. Norbert Röttgen,Norbert Röttgen,1040160799208161280,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"De Ridder, Dr. Daniela",Dr. Daniela,De Ridder,Dr. Daniela De Ridder,Daniela De Ridder,2842430247,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Beyer, Peter",Peter,Beyer,Peter Beyer,Peter Beyer,69814084,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Beyer, Peter",Peter,Beyer,Peter Beyer,Peter Beyer,445375409,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Erndl, Thomas",Thomas,Erndl,Thomas Erndl,Thomas Erndl,2192588903,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Groden-Kranich, Ursula",Ursula,Groden-Kranich,Ursula Groden-Kranich,Ursula Groden-Kranich,NA,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Grund, Manfred",Manfred,Grund,Manfred Grund,Manfred Grund,NA,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Hardt, Jürgen",Jürgen,Hardt,Jürgen Hardt,Jürgen Hardt,38467606,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Kiesewetter, Roderich",Roderich,Kiesewetter,Roderich Kiesewetter,Roderich Kiesewetter,42698498,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Koob, Markus",Markus,Koob,Markus Koob,Markus Koob,2664174617,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Manderla, Gisela",Gisela,Manderla,Gisela Manderla,Gisela Manderla,1095781218,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Marschall, Matern von",Matern von,Marschall,Matern von Marschall,Matern von Marschall,NA,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Motschmann, Elisabeth",Elisabeth,Motschmann,Elisabeth Motschmann,Elisabeth Motschmann,1135510177292197888,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Nick, Dr. Andreas",Dr. Andreas,Nick,Dr. Andreas Nick,Andreas Nick,49450039,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Radwan, Alexander",Alexander,Radwan,Alexander Radwan,Alexander Radwan,2831760211,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Schmidt, Christian",Christian,Schmidt,Christian Schmidt,Christian Schmidt,NA,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Steffel, Frank",Frank,Steffel,Frank Steffel,Frank Steffel,26869088,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Freitag, Dagmar",Dagmar,Freitag,Dagmar Freitag,Dagmar Freitag,1148916458983964673,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Hendricks, Dr. Barbara",Dr. Barbara,Hendricks,Dr. Barbara Hendricks,Barbara Hendricks,NA,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Juratovic, Josip",Josip,Juratovic,Josip Juratovic,Josip Juratovic,738731811380076544,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Kofler, Dr. Bärbel",Dr. Bärbel,Kofler,Dr. Bärbel Kofler,Bärbel Kofler,193629792,WP_19,2017-10-24,2021-10-26,aeusseres
