committee,name,firstname,lastname,fullname,official_name,user_id,period,begin,end
Auswärtiger Ausschuss,"Beyer, Peter",Peter,Beyer,Peter Beyer,Peter Beyer,69814084,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Beyer, Peter",Peter,Beyer,Peter Beyer,Peter Beyer,445375409,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Erndl, Thomas",Thomas,Erndl,Thomas Erndl,Thomas Erndl,2192588903,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Groden-Kranich, Ursula",Ursula,Groden-Kranich,Ursula Groden-Kranich,Ursula Groden-Kranich,NA,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Grund, Manfred",Manfred,Grund,Manfred Grund,Manfred Grund,NA,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Hardt, Jürgen",Jürgen,Hardt,Jürgen Hardt,Jürgen Hardt,38467606,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Kiesewetter, Roderich",Roderich,Kiesewetter,Roderich Kiesewetter,Roderich Kiesewetter,42698498,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Koob, Markus",Markus,Koob,Markus Koob,Markus Koob,2664174617,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Manderla, Gisela",Gisela,Manderla,Gisela Manderla,Gisela Manderla,1095781218,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Marschall, Matern von",Matern von,Marschall,Matern von Marschall,Matern von Marschall,NA,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Motschmann, Elisabeth",Elisabeth,Motschmann,Elisabeth Motschmann,Elisabeth Motschmann,1135510177292197888,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Nick, Dr. Andreas",Dr. Andreas,Nick,Dr. Andreas Nick,Andreas Nick,49450039,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Radwan, Alexander",Alexander,Radwan,Alexander Radwan,Alexander Radwan,2831760211,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Schmidt, Christian",Christian,Schmidt,Christian Schmidt,Christian Schmidt,NA,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Steffel, Frank",Frank,Steffel,Frank Steffel,Frank Steffel,26869088,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Freitag, Dagmar",Dagmar,Freitag,Dagmar Freitag,Dagmar Freitag,1148916458983964673,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Hendricks, Dr. Barbara",Dr. Barbara,Hendricks,Dr. Barbara Hendricks,Barbara Hendricks,NA,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Juratovic, Josip",Josip,Juratovic,Josip Juratovic,Josip Juratovic,738731811380076544,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Kofler, Dr. Bärbel",Dr. Bärbel,Kofler,Dr. Bärbel Kofler,Bärbel Kofler,193629792,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Matschie, Christoph",Christoph,Matschie,Christoph Matschie,Christoph Matschie,19286748,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Nietan, Dietmar",Dietmar,Nietan,Dietmar Nietan,Dietmar Nietan,NA,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Özoğuz, Aydan",Aydan,Özoğuz,Aydan Özoğuz,Aydan Özoğuz,83342791,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Saathoff, Johann",Johann,Saathoff,Johann Saathoff,Johann Saathoff,159217491,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Schmid, Dr. Nils",Dr. Nils,Schmid,Dr. Nils Schmid,Nils Schmid,83795057,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Bystron, Petr",Petr,Bystron,Petr Bystron,Petr Bystron,810957560723505152,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Friesen, Dr. Anton",Dr. Anton,Friesen,Dr. Anton Friesen,Anton Friesen,916324637046435840,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Hampel, Armin-Paulus",Armin-Paulus,Hampel,Armin-Paulus Hampel,Armin-Paulus Hampel,NA,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Hartwig, Dr. Roland",Dr. Roland,Hartwig,Dr. Roland Hartwig,Roland Hartwig,282687385,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Herdt, Waldemar",Waldemar,Herdt,Waldemar Herdt,Waldemar Herdt,3384824825,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Herdt, Waldemar",Waldemar,Herdt,Waldemar Herdt,Waldemar Herdt,1865308944,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Podolay, Paul Viktor",Paul Viktor,Podolay,Paul Viktor Podolay,Paul Viktor Podolay,NA,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Alt, Renata",Renata,Alt,Renata Alt,Renata Alt,1001837201276235777,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Djir-Sarai, Bijan",Bijan,Djir-Sarai,Bijan Djir-Sarai,Bijan Djir-Sarai,960463104537657344,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Kulitz, Alexander",Alexander,Kulitz,Alexander Kulitz,Alexander Kulitz,1743275384,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Lechte, Ulrich",Ulrich,Lechte,Ulrich Lechte,Ulrich Lechte,988765113606918144,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Müller-Rosentritt, Frank",Frank,Müller-Rosentritt,Frank Müller-Rosentritt,Frank Müller-Rosentritt,984048002967982080,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Dağdelen, Sevim",Sevim,Dağdelen,Sevim Dağdelen,Sevim Dağdelen,139407967,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Gysi, Dr. Gregor",Dr. Gregor,Gysi,Dr. Gregor Gysi,Gregor Gysi,888289790,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Hänsel, Heike",Heike,Hänsel,Heike Hänsel,Heike Hänsel,332264734,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Vogler, Kathrin",Kathrin,Vogler,Kathrin Vogler,Kathrin Vogler,21287514,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Nouripour, Omid",Omid,Nouripour,Omid Nouripour,Omid Nouripour,16674128,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Sarrazin, Manuel",Manuel,Sarrazin,Manuel Sarrazin,Manuel Sarrazin,17922403,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Schmidt, Dr. Frithjof",Dr. Frithjof,Schmidt,Dr. Frithjof Schmidt,Frithjof Schmidt,NA,WP_19,2017-10-24,2021-10-26
Auswärtiger Ausschuss,"Trittin, Jürgen",Jürgen,Trittin,Jürgen Trittin,Jürgen Trittin,485751594,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Heil, Mechthild",Mechthild,Heil,Mechthild Heil,Mechthild Heil,974367631,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Hirte, Christian",Christian,Hirte,Christian Hirte,Christian Hirte,37642893,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Kießling, Michael",Michael,Kießling,Michael Kießling,Michael Kießling,730314294,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Möring, Karsten",Karsten,Möring,Karsten Möring,Karsten Möring,1099159964,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Pols, Eckhard",Eckhard,Pols,Eckhard Pols,Eckhard Pols,NA,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Schweiger, Torsten",Torsten,Schweiger,Torsten Schweiger,Torsten Schweiger,2758602415,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Wegner, Kai",Kai,Wegner,Kai Wegner,Kai Wegner,39999872,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Weisgerber, Dr. Anja",Dr. Anja,Weisgerber,Dr. Anja Weisgerber,Anja Weisgerber,133770069,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Zeulner, Emmi",Emmi,Zeulner,Emmi Zeulner,Emmi Zeulner,NA,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Daldrup, Bernhard",Bernhard,Daldrup,Bernhard Daldrup,Bernhard Daldrup,1329019163126476800,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Kaiser, Elisabeth",Elisabeth,Kaiser,Elisabeth Kaiser,Elisabeth Kaiser,1425035358,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Mindrup, Klaus",Klaus,Mindrup,Klaus Mindrup,Klaus Mindrup,845282647261761536,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Nissen, Ulli",Ulli,Nissen,Ulli Nissen,Ulli Nissen,382044198,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Tausend, Claudia",Claudia,Tausend,Claudia Tausend,Claudia Tausend,NA,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Bernhard, Marc",Marc,Bernhard,Marc Bernhard,Marc Bernhard,805823950253150208,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Hemmelgarn, Udo Theodor",Udo Theodor,Hemmelgarn,Udo Theodor Hemmelgarn,Udo Theodor Hemmelgarn,NA,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Magnitz, Frank",Frank,Magnitz,Frank Magnitz,Frank Magnitz,940532615177752576,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Föst, Daniel",Daniel,Föst,Daniel Föst,Daniel Föst,422569574,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Reinhold, Hagen",Hagen,Reinhold,Hagen Reinhold,Hagen Reinhold,925657781759332353,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Strack-Zimmermann, Dr. Marie-Agnes",Dr. Marie-Agnes,Strack-Zimmermann,Dr. Marie-Agnes Strack-Zimmermann,Marie-Agnes Strack-Zimmermann,3047392319,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Kassner, Kerstin",Kerstin,Kassner,Kerstin Kassner,Kerstin Kassner,NA,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Lay, Caren",Caren,Lay,Caren Lay,Caren Lay,21404382,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Kühn, Christian",Christian,Kühn,Christian Kühn,Christian Kühn,1143130812,WP_19,2017-10-24,2021-10-26
"Bau, Wohnen, Stadtentwicklung und Kommunen","Wagner, Daniela",Daniela,Wagner,Daniela Wagner,Daniela Wagner,874917828436078592,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Rossmann, Dr. Ernst Dieter",Dr. Ernst Dieter,Rossmann,Dr. Ernst Dieter Rossmann,Ernst Dieter Rossmann,38645930,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Benning, Sybille",Sybille,Benning,Sybille Benning,Sybille Benning,869205749632831488,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Abercron, Dr. Michael von",Dr. Michael von,Abercron,Dr. Michael von Abercron,Michael von Abercron,862747349277450240,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Albani, Stephan",Stephan,Albani,Stephan Albani,Stephan Albani,NA,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Altenkamp, Norbert",Norbert,Altenkamp,Norbert Altenkamp,Norbert Altenkamp,1319570576957149184,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Gienger, Eberhard",Eberhard,Gienger,Eberhard Gienger,Eberhard Gienger,NA,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Kaufmann, Dr. Stefan",Dr. Stefan,Kaufmann,Dr. Stefan Kaufmann,Stefan Kaufmann,51752254,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Kemmer, Ronja",Ronja,Kemmer,Ronja Kemmer,Ronja Kemmer,2405039875,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Magwas, Yvonne",Yvonne,Magwas,Yvonne Magwas,Yvonne Magwas,3852561082,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Mannes, Dr. Astrid",Dr. Astrid,Mannes,Dr. Astrid Mannes,Astrid Mannes,NA,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Rupprecht, Albert",Albert,Rupprecht,Albert Rupprecht,Albert Rupprecht,NA,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Staffler, Katrin",Katrin,Staffler,Katrin Staffler,Katrin Staffler,825019912083038208,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Stefinger, Dr. Wolfgang",Dr. Wolfgang,Stefinger,Dr. Wolfgang Stefinger,Wolfgang Stefinger,4866955749,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Steier, Andreas",Andreas,Steier,Andreas Steier,Andreas Steier,3236928208,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Tiemann, Dr. Dietlind",Dr. Dietlind,Tiemann,Dr. Dietlind Tiemann,Dietlind Tiemann,4818645382,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Bahr, Ulrike",Ulrike,Bahr,Ulrike Bahr,Ulrike Bahr,724565991104110592,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Diaby, Dr. Karamba",Dr. Karamba,Diaby,Dr. Karamba Diaby,Karamba Diaby,316355056,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Esdar, Dr. Wiebke",Dr. Wiebke,Esdar,Dr. Wiebke Esdar,Wiebke Esdar,1042109887604563968,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Fahimi, Yasmin",Yasmin,Fahimi,Yasmin Fahimi,Yasmin Fahimi,1038034431385247745,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Kaczmarek, Oliver",Oliver,Kaczmarek,Oliver Kaczmarek,Oliver Kaczmarek,231440493,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Paschke, Markus",Markus,Paschke,Markus Paschke,Markus Paschke,3163499392,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Röspel, René",René,Röspel,René Röspel,René Röspel,NA,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Völlers, Marja-Liisa",Marja-Liisa,Völlers,Marja-Liisa Völlers,Marja-Liisa Völlers,1009457791554281473,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Espendiller, Dr. Michael",Dr. Michael,Espendiller,Dr. Michael Espendiller,Michael Espendiller,885167849685340161,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Frömming, Dr. Götz",Dr. Götz,Frömming,Dr. Götz Frömming,Götz Frömming,809895794,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Höchst, Nicole",Nicole,Höchst,Nicole Höchst,Nicole Höchst,3105025175,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Jongen, Dr. Marc",Dr. Marc,Jongen,Dr. Marc Jongen,Marc Jongen,4121053541,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Reichardt, Martin",Martin,Reichardt,Martin Reichardt,Martin Reichardt,2545743991,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Brandenburg, Dr. Jens",Dr. Jens,Brandenburg,Dr. Jens Brandenburg,Jens Brandenburg,857906951707127808,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Brandenburg, Mario",Mario,Brandenburg,Mario Brandenburg,Mario Brandenburg,802968497831739392,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Dassler, Britta Katharina",Britta Katharina,Dassler,Britta Katharina Dassler,Britta Katharina Dassler,NA,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Heidt, Peter",Peter,Heidt,Peter Heidt,Peter Heidt,1858621434,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Sattelberger, Dr. h. c. Thomas",Dr. h. c. Thomas,Sattelberger,Dr. h. c. Thomas Sattelberger,Thomas Sattelberger,1296544153,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Bull-Bischoff, Dr. Birke",Dr. Birke,Bull-Bischoff,Dr. Birke Bull-Bischoff,Birke Bull-Bischoff,81394072,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Gohlke, Nicole",Nicole,Gohlke,Nicole Gohlke,Nicole Gohlke,866425075,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Pellmann, Sören",Sören,Pellmann,Sören Pellmann,Sören Pellmann,74837812,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Sitte, Dr. Petra",Dr. Petra,Sitte,Dr. Petra Sitte,Petra Sitte,293522998,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Christmann, Dr. Anna",Dr. Anna,Christmann,Dr. Anna Christmann,Anna Christmann,1617177360,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Gehring, Kai",Kai,Gehring,Kai Gehring,Kai Gehring,110368456,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Stumpp, Margit",Margit,Stumpp,Margit Stumpp,Margit Stumpp,943082490482262016,WP_19,2017-10-24,2021-10-26
"Bildung, Forschung und Technikfolgenabschätzung","Walter-Rosenheimer, Beate",Beate,Walter-Rosenheimer,Beate Walter-Rosenheimer,Beate Walter-Rosenheimer,47049428,WP_19,2017-10-24,2021-10-26
Digitale Agenda,"Höferlin, Manuel",Manuel,Höferlin,Manuel Höferlin,Manuel Höferlin,17483463,WP_19,2017-10-24,2021-10-26
Digitale Agenda,"Durz, Hansjörg",Hansjörg,Durz,Hansjörg Durz,Hansjörg Durz,1662533040,WP_19,2017-10-24,2021-10-26
Digitale Agenda,"Beermann, Maik",Maik,Beermann,Maik Beermann,Maik Beermann,569257486,WP_19,2017-10-24,2021-10-26
Digitale Agenda,"Hauer, Matthias",Matthias,Hauer,Matthias Hauer,Matthias Hauer,1158585210,WP_19,2017-10-24,2021-10-26
Digitale Agenda,"Heilmann, Thomas",Thomas,Heilmann,Thomas Heilmann,Thomas Heilmann,56806603,WP_19,2017-10-24,2021-10-26
